index,North,South,West,East,ND,SD,WD,ED
1,2,,,,1,,,
2,,1,5,,,1,1,
3,,,7,,,,1,
4,,5,8,,,1,1,
5,4,,9,1,1,,1,1
6,,,10,,,,1,
7,,8,,3,,1,,1
8,7,,22,4,1,,1,1
9,,10,,5,,1,,1
10,9,13,29,6,1,1,2,1
11,,18,12,,,3,1,
12,,15,13,11,,1,1,1
13,10,14,,12,1,1,,1
14,13,16,32,15,1,1,1,1
15,12,,14,,1,,1,
16,14,20,33,17,1,1,1,1
17,,,16,,,,1,
18,11,,19,,3,,1,
19,,,,18,,,,1
20,16,,34,,1,,1,
21,,22,,,,1,,
22,21,23,27,8,1,1,2,1
23,22,,24,,1,,1,
24,,29,,23,,1,,1
25,,,26,,,,1,
26,,27,,25,,1,,1
27,26,28,,22,1,2,,2
28,27,37,,29,2,2,,1
29,24,30,28,10,1,1,1,2
30,29,,,31,1,,,1
31,,32,30,,,1,1,
32,31,33,37,14,1,1,2,1
33,32,,36,16,1,,1,1
34,,,,20,,,,1
35,36,,,,1,,,
36,,35,,33,,1,,1
37,28,38,,32,2,1,,2
38,37,,,,1,,,
